package	file	line	kind	name	from
attachment/attachment	src/error.ts	16	type	ImageAdmissionErrorCode	
attachment/attachment	src/error.ts	19	type	AttachmentErrorCode	
attachment/attachment	src/error.ts	40	class	AttachmentError	
attachment/attachment	src/error.ts	61	function	isImageAdmissionError	
attachment/attachment	src/index.ts	14	reexport	AttachmentId	./brand.ts
attachment/attachment	src/index.ts	14	reexport	ImageVariantId	./brand.ts
attachment/attachment	src/index.ts	15	reexport	AttachmentError	./error.ts
attachment/attachment	src/index.ts	15	reexport	isImageAdmissionError	./error.ts
attachment/attachment	src/index.ts	16	reexport-type	AttachmentErrorCode	./error.ts
attachment/attachment	src/index.ts	16	reexport-type	ImageAdmissionErrorCode	./error.ts
attachment/attachment	src/index.ts	17	reexport	admitEncodedImages	./admission.ts
attachment/attachment	src/index.ts	18	reexport-type	AttachmentIdType	./types.ts
attachment/attachment	src/index.ts	18	reexport-type	EncodedImageAttachment	./types.ts
attachment/attachment	src/index.ts	18	reexport-type	ImageAttachmentLimits	./types.ts
attachment/attachment	src/index.ts	18	reexport-type	ImageAttachmentRef	./types.ts
attachment/attachment	src/index.ts	18	reexport-type	ImageMediaType	./types.ts
attachment/attachment	src/index.ts	18	reexport-type	ImageRequestPolicy	./types.ts
attachment/attachment	src/index.ts	18	reexport-type	RequestImageAttachment	./types.ts
attachment/attachment	src/index.ts	18	reexport-type	SaveImageAttachment	./types.ts
attachment/attachment	src/index.ts	18	reexport-type	StoredImageAttachment	./types.ts
attachment/attachment	src/index.ts	37	class	AttachmentStore	
attachment/attachment	src/index.ts	133	default	AttachmentStore	
attachment/attachment	src/invariant.ts	9	const	name	
attachment/attachment	src/invariant.ts	11	const	inject	
attachment/attachment	src/invariant.ts	19	const	apply	
attachment/attachment	src/types.ts	5	reexport-type	AttachmentId	./brand.ts
attachment/attachment	src/types.ts	8	type	ImageMediaType	
attachment/attachment	src/types.ts	11	interface	ImageAttachmentRef	
attachment/attachment	src/types.ts	35	interface	ImageAttachmentLimits	
attachment/attachment	src/types.ts	46	interface	EncodedImageAttachment	
attachment/attachment	src/types.ts	56	interface	SaveImageAttachment	
attachment/attachment	src/types.ts	65	interface	StoredImageAttachment	
attachment/attachment	src/types.ts	71	interface	ImageRequestPolicy	
attachment/attachment	src/types.ts	79	interface	RequestImageAttachment	
attachment/attachment-local	src/compression-limiter.ts	4	class	CompressionLimiter	
attachment/attachment-local	src/encoding.ts	4	interface	EncodedCandidate	
attachment/attachment-local	src/encoding.ts	9	interface	ExhaustedEncoding	
attachment/attachment-local	src/encoding.ts	19	function	encodeFirstWithinLimit	
attachment/attachment-local	src/encoding.ts	42	function	isExhaustedEncoding	
attachment/attachment-local	src/image.ts	8	interface	DetectedImage	
attachment/attachment-local	src/image.ts	35	function	encodedAlphaIsCompatible	
attachment/attachment-local	src/image.ts	91	function	probeImage	
attachment/attachment-local	src/image.ts	101	interface	DecodedImageLimits	
attachment/attachment-local	src/image.ts	114	function	detectImage	
attachment/attachment-local	src/index.ts	21	reexport	canPassThroughNormalization	./normalization.ts
attachment/attachment-local	src/index.ts	21	reexport	normalizeImage	./normalization.ts
attachment/attachment-local	src/index.ts	22	reexport-type	NormalizationPolicy	./normalization.ts
attachment/attachment-local	src/index.ts	22	reexport-type	NormalizedImage	./normalization.ts
attachment/attachment-local	src/index.ts	23	reexport	commitPreparedImageFile	./store.ts
attachment/attachment-local	src/index.ts	23	reexport	prepareImageFile	./store.ts
attachment/attachment-local	src/index.ts	23	reexport	readImageFile	./store.ts
attachment/attachment-local	src/index.ts	23	reexport	saveImageFile	./store.ts
attachment/attachment-local	src/index.ts	23	reexport	validateImageFile	./store.ts
attachment/attachment-local	src/index.ts	24	reexport-type	PreparedImageFile	./store.ts
attachment/attachment-local	src/index.ts	25	reexport	readRequestImageFile	./request-image.ts
attachment/attachment-local	src/index.ts	25	reexport	requestImageDimensions	./request-image.ts
attachment/attachment-local	src/index.ts	25	reexport	requestImageVariantId	./request-image.ts
attachment/attachment-local	src/index.ts	28	const	DEFAULT_MAX_IMAGE_BYTES	
attachment/attachment-local	src/index.ts	30	const	DEFAULT_MAX_IMAGES_PER_MESSAGE	
attachment/attachment-local	src/index.ts	32	const	DEFAULT_MAX_MESSAGE_IMAGE_BYTES	
